numeroDoc,idDeputado,nomeDeputado,tipo_despesa,fornecedor,valor,data
635,136811,Afonso Hamm,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,LIZIANE QUEVEDO,3090.0,2023-02-17T00:00:00
636,136811,Afonso Hamm,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,LIZIANE QUEVEDO,5610.0,2023-02-17T00:00:00
1690,178835,Afonso Motta,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,NOVA IMPRESSAO GRAFICA E PAPELARIA LTDA,2090.0,2023-02-15T00:00:00
21,109429,Benes Leocádio,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,ELDORADO COMUNICACAO E JORNALISMO LTDA,1500.0,2023-02-09T00:00:00
24,204507,Carla Zambelli,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,ALINE DA SILVA SANTOS NASCIMENTO 35683981840,2000.0,2023-02-10T00:00:00
380951,141411,Dagoberto Nogueira,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,AGUAS GUARIROBA / MS,125.68,2023-02-07T00:00:00
4480,204512,Delegado Marcelo Freitas,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,WMS COMERCIO DE ARTIGOS DE PAPELARIA LTDA-ME,6093.3,2023-02-07T00:00:00
14075,143632,Domingos Neto,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,HPE AUTOMOTORES DO BRASIL LTDA,10760.0,2023-03-02T00:00:00
509,92699,Fernando Monteiro,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,PRIMAVIA RENT A CAR LOCADORA DE VEICULOS LTDA - EPP,4890.0,2023-03-27T00:00:00
570,204411,Filipe Barros,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",LEANDRO ROSA ADVOGADOS ASSOCIADOS,50000.0,2023-02-28T00:00:00
00000115,73531,Ivan Valente,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",CANUTO E LUCENA SOCIEDADE DE ADVOGADOS,16000.0,2023-02-23T00:00:00
202300000000005,178970,João Daniel,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",Matos e Lima Advogados Associados,4500.0,2023-02-08T00:00:00
13606,141470,José Guimarães,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,PRINTCOLOR GRÁFICA E EDITORA LTDA EPP,3480.0,2023-02-17T00:00:00
1606,204574,Junior Lourenço,COMBUSTÍVEIS E LUBRIFICANTES.,POSTO AMERICANO LTDA,2800.0,2023-02-10T00:00:00
75,204574,Junior Lourenço,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",PROSPER - SOCIEDADE CIVIL DE PROFISSIONAIS ASSOCIADOS,15000.0,2023-02-01T00:00:00
00000228,139285,Lídice da Mata,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",RADIOLA COMUNICACAO E ASSESSORIA LTDA,15300.0,2023-02-06T00:00:00
29,178954,Lucio Mosquini,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,J. D ALVES GRAFICA INFINITY,19500.0,2023-03-23T00:00:00
000312,178896,Newton Cardoso Jr,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,AM EMPREENDIMENTOS IMOBILIÁRIOS LTDA,5700.0,2023-03-06T00:00:00
2141,204479,Nicoletti,ASSINATURA DE PUBLICAÇÕES,SEISELLES DISTRIBUIÇÃO E LOGÍSTICA EIRELI,123.83,2023-02-23T00:00:00
00000029747,204573,Otto Alencar Filho,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,ATLANTICO TRANSPORTES LTDA,8500.0,2023-02-13T00:00:00
920,204406,Pedro Westphalen,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,ANA ROZI MARQUES BRUM,400.0,2023-03-06T00:00:00
12104,204406,Pedro Westphalen,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,ANDRES EDITORA JORNALISTICA LTDA,400.0,2023-03-06T00:00:00
34,204406,Pedro Westphalen,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,CNB-CANAL NOTICIAS BRASIL,600.0,2023-03-14T00:00:00
003477,204406,Pedro Westphalen,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,RÁDIO CERES LTDA,2500.0,2023-02-28T00:00:00
4,73486,Pompeo de Mattos,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,BRUNO MOTTA COSTA 03855237182,5500.0,2023-02-16T00:00:00
5576,73486,Pompeo de Mattos,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,RADIO NONOAI LTDA - ME,500.0,2023-02-16T00:00:00
1750,73486,Pompeo de Mattos,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,RADIO SAO LUIZ LTDA,750.0,2023-02-09T00:00:00
00000025,204464,Talíria Petrone,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",SABIA CONSULTORIA,6200.0,2023-02-22T00:00:00
08022023,157130,Túlio Gadêlha,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",UBER DO BRASIL TECNOLOGIA LTDA,24.41,2023-02-08T00:00:00
1000001,74043,Wellington Roberto,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",LEOPOLDO WAGNER ANDRADE SOCIEDADE INDIVIDUAL DE ADVOCACIA,45200.0,2023-03-17T00:00:00
1333,74044,Wilson Santiago,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,JANILENE RODRIGUES GONCALVES SARMENTO,2490.0,2023-02-06T00:00:00
804/E,204517,Zé Vitor,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,EDITORA & ARTES GRAFICAS CORREIO DE ARAGUARI LTDA,3000.0,2023-02-02T00:00:00
